layer,mean,std,max,energy,spike_score,anomaly_score,flagged
model.layers.2.post_attention_layernorm,0.005445360423376163,0.9908520152171453,33.550449721018474,0.9942837248245875,33.86016816395911,1.4343274297625714,False
model.layers.15.post_attention_layernorm,0.02518365514309456,1.02113982240359,25.95575895309448,1.044256102045377,25.418393216323572,1.404933019914458,False
model.layers.21.mlp.act_fn,-0.0647398871059219,0.5229641770323118,40.38448009490967,0.28796557361880937,77.22212083810406,1.3887218298811552,False
model.layers.11.post_attention_layernorm,0.015185917320680649,0.9139272958040238,31.1400008837382,0.8366464277108511,34.07269588512187,1.3535048147470083,False
model.layers.15.mlp.gate_proj,-0.4346520300100868,0.7620235040783883,5.619485306739807,0.7795391316215198,7.374415490137229,1.3483736021519994,False
model.layers.10.post_attention_layernorm,0.018125319506119317,0.8910990724960963,29.5253085454305,0.7951431840658187,33.13354970640499,1.3200742074728473,False
model.layers.13.post_attention_layernorm,0.019050013044519195,0.9221366763114929,25.83640193939209,0.8514032552639643,28.017944178071627,1.3065064566631248,False
model.layers.9.mlp.gate_proj,-0.4854409928123156,0.6553165127833684,5.5496543924013775,0.6668272684017817,8.46864959984055,1.2921267284342677,False
model.layers.22.mlp,-0.0014553251943652868,0.9703110317389171,20.240945450464885,0.9758949016531309,20.860243703451406,1.2779582841331096,False
model.layers.22.mlp.down_proj,-0.0014553251943652868,0.9703110317389171,20.240945450464885,0.9758949016531309,20.860243703451406,1.2779582841331096,False
model.layers.12.post_attention_layernorm,0.012565106903881922,0.8776806821425756,26.87275857925415,0.7711384723583857,30.61788701531632,1.2735385064354592,False
model.layers.14.post_attention_layernorm,0.022943734315534432,0.9245120068391164,21.68538103103638,0.8563018679618836,23.456004264534986,1.2676459705961889,False
model.layers.20.mlp.up_proj,0.004983791813371378,0.9346472422281901,19.505107371012368,0.8759897043307622,20.868928533490234,1.23591928980954,False
model.layers.1.mlp.gate_proj,-0.4199126531680425,0.6260129113992056,7.579221026102702,0.5699896628657977,12.107112778312485,1.2239956586369527,False
model.layers.3.mlp.up_proj,-0.0015597429941256755,0.6892432828744253,32.416217994689944,0.5030632798870405,47.03153700383456,1.2114247238956004,False
